Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
35,AON2,2.7380165289256198,0.7900826446280992,40.0,1.0,1,0.7103305785123967,0.07975206611570249,0.09917355371900827,0.11074380165289256,0.9893583724569641,0.4482954545454545,0,0.4462987012987013
36,TF3,2.736776859504132,0.7922865013774105,44.0,1.0,188,0.7194214876033057,0.07286501377410468,0.09325068870523416,0.11446280991735537,0.9573915263281261,0.6545935545935544,0.65748556998557,0.2937321937321937
37,Evolved ANN 5,2.733884297520661,0.8404958677685951,26.0,1.0,50,0.7542699724517906,0.08622589531680441,0.07768595041322314,0.08181818181818182,1.0,0.6921881564286625,0,0.8108506944444445
38,Fool Me Once,2.7276859504132234,0.8210743801652892,31.0,1.0,73,0.7486225895316804,0.07245179063360882,0.07617079889807163,0.10275482093663912,1.0,0.6183333333333333,0,0
39,NMWE Memory One: 37 players,2.724793388429752,0.7695592286501377,43.0,1.0,239,0.7037190082644629,0.06584022038567493,0.09696969696969697,0.13347107438016528,0.9329370046754905,0.543219759168035,0.3832050689976911,0.25083658698459455
40,Evolved FSM 4,2.7235537190082644,0.8261707988980717,34.0,1.0,54,0.7230027548209367,0.10316804407713498,0.09490358126721764,0.07892561983471075,0.9550501451713107,0.4103701853701853,0,0.8732545232545234
41,NMWE Stochastic: 68 players,2.7227272727272727,0.7822314049586777,41.0,1.0,240,0.7067493112947658,0.07548209366391184,0.09407713498622589,0.12369146005509642,0.9365740265741351,0.42817460317460326,0.3144157894661521,0.29041281393485424
42,Adaptive,2.722314049586777,0.6,179.0,1.0,4,0.49173553719008267,0.10826446280991735,0.21212121212121213,0.1878787878787879,0.849161237921742,0.847788227098572,0,0
43,PSO Gambler 2_2_2,2.7202479338842975,0.8391184573002755,29.0,1.0,125,0.7519283746556474,0.0871900826446281,0.07617079889807163,0.08471074380165289,0.9459586712379585,0.6821258774229072,0.6699617199617199,0.45381493506493503
44,Nice Meta Winner Ensemble: 220 players,2.718181818181818,0.7753443526170799,44.0,1.0,242,0.7053719008264462,0.0699724517906336,0.09504132231404959,0.12961432506887052,0.9261575396279108,0.40263210769539876,0.2684280730530511,0.24070086648292272
45,PSO Gambler 2_2_2 Noise 05,2.7173553719008265,0.8355371900826446,26.0,1.0,126,0.740771349862259,0.09476584022038567,0.0840220385674931,0.08044077134986227,0.9088691412464917,0.5961959336959337,0.7963540031397174,0.5949591736177102
46,NMWE Finite Memory: 82 players,2.715702479338843,0.7785123966942149,42.0,1.0,237,0.7038567493112948,0.0746556473829201,0.09559228650137741,0.12589531680440771,0.9208984213811581,0.3960714285714285,0.33633260002204635,0.2673256066291582
47,NMWE Deterministic: 152 players,2.714462809917355,0.7768595041322314,42.0,1.0,236,0.7077134986225896,0.06914600550964188,0.09325068870523416,0.12988980716253443,0.9070531742319669,0.43856328856328847,0.24424055229139974,0.27870337765788133
48,Soft Grudger,2.709090909090909,0.8110192837465565,35.0,1.0,176,0.7301652892561983,0.08085399449035813,0.08044077134986227,0.10853994490358126,1.0,0.3753818508535489,0.3371306818181818,0.31449314574314574
49,Hard Tit For Tat,2.708677685950413,0.746694214876033,57.0,1.0,102,0.7000000000000001,0.04669421487603306,0.08870523415977963,0.16460055096418733,1.0,0,0.2959163059163059,0
50,Meta Majority Finite Memory: 82 players,2.707438016528926,0.8501377410468319,7.0,1.0,225,0.7586776859504132,0.09146005509641873,0.06942148760330578,0.08044077134986227,1.0,0.3562103174603174,0.9297905909351692,0
51,"Memory Decay: 0.1, 0.03, -2, 1, Tit For Tat, 15",2.7070247933884297,0.8501377410468319,0.0,1.0,220,0.7601928374655648,0.08994490358126721,0.06790633608815427,0.08195592286501377,1.0,0,1.0,0
52,Forgiving Tit For Tat,2.705785123966942,0.8506887052341597,0.0,1.0,77,0.7615702479338844,0.08911845730027548,0.06707988980716253,0.08223140495867769,1.0,0,1.0,0
53,NMWE Long Memory: 138 players,2.705785123966942,0.7758953168044077,42.0,1.0,238,0.703030303030303,0.07286501377410468,0.09297520661157024,0.13112947658402205,0.9408357583620306,0.43809964726631395,0.28233220241322476,0.21606637547575866
54,"General Soft Grudger: n=1,d=4,c=2",2.7049586776859504,0.8141873278236914,33.0,1.0,82,0.7352617079889807,0.07892561983471075,0.07782369146005509,0.10798898071625344,1.0,0.37891156462585024,0.3374401913875598,0.3215973753709602
55,Evolved ANN,2.7045454545454546,0.8546831955922864,21.0,1.0,49,0.7736914600550964,0.0809917355371901,0.06019283746556474,0.08512396694214877,0.9770883989516713,0.7444479928086484,0.87085346215781,1.0
56,Inverse,2.703305785123967,0.7837465564738292,45.0,1.0,105,0.715564738292011,0.06818181818181818,0.08512396694214877,0.13112947658402205,0.9687627214010308,0,0.5738367723307484,0
57,Second by Tideman and Chieruzzi,2.699586776859504,0.8231404958677686,19.0,1.0,166,0.7523415977961432,0.07079889807162534,0.06611570247933884,0.11074380165289256,1.0,0,0.7691853600944509,0.125
